Time,Tx,Transaction Hash URL,Token,Profit,Cost,Revenue
2024-06-23 23:59:54,0xd8d…22560,https://eigenphi.io/mev/bsc/tx/0xd8d3555dd3a834b51cbaf8e4ac6713b42bd577470fd16c834c61e954f9222560,"…
…",$0.50,$0.14,$0.64
2024-06-23 23:59:40,0x7fa…17c4c,https://eigenphi.io/mev/bsc/tx/0x7fa43d49d9bd1595efa7190deaaa741e9bcd98b26703172099e77172f9517c4c,"…
…",$0.75,$1.31,$2.06
2024-06-23 23:59:31,0xd2b…f61e9,https://eigenphi.io/mev/bsc/tx/0xd2ba54bd1bd62d6b78df4b944d8715373630cc0b89d162b5f759ade05fdf61e9,"…
…",$0.17,$0.15,$0.32
2024-06-23 23:59:28,0x01a…719f8,https://eigenphi.io/mev/bsc/tx/0x01a3f3034eb9de0084e385434c2614a56e7afb7105cb695e769a686472f719f8,"…
…",$0.26,$0.20,$0.46
2024-06-23 23:59:28,0x6e4…83611,https://eigenphi.io/mev/bsc/tx/0x6e4a0129c5a44c7f2547bcc3537ea0fa175a5212fbfcea5de707329299a83611,"…
…",$7.39,$0.43,$7.82
2024-06-23 23:59:22,0xb28…8b56c,https://eigenphi.io/mev/bsc/tx/0xb283d3663a9a3a5c1e31afe40294cf0be9292fcff5151ef43be4de785cc8b56c,"…
…",$0.26,$0.20,$0.46
2024-06-23 23:59:16,0x00f…2a0aa,https://eigenphi.io/mev/bsc/tx/0x00f3932ea78e3cb7753a937410dfe8eedbf3677112ece7bfc9f0f4a93b92a0aa,"…
…",$0.96,$0.13,$1.10
2024-06-23 23:59:07,0x128…ed842,https://eigenphi.io/mev/bsc/tx/0x128947a5fd909d6406242fd0eb8280f4aa257ae3586f259d7e37651c1b8ed842,"…
…",-$0.11,$0.26,$0.15
2024-06-23 23:59:07,0x931…eb7c3,https://eigenphi.io/mev/bsc/tx/0x9312d000aed67aab6f42b71259a2ff4d8db217db7150935db00a8896197eb7c3,"…
…",$0.21,$0.24,$0.45
2024-06-23 23:59:07,0x434…6d7eb,https://eigenphi.io/mev/bsc/tx/0x434a64f5dd2e02f60fa2524706c85988a30bc99ca1d069e758843ac477c6d7eb,"…
…",$3.90,$0.11,$4.01
"a few seconds ago
items per page:
0 - 10",,,,,,
