Time,Tx,Transaction Hash URL,Token,Profit,Cost,Revenue
2024-06-20 23:59:34,0x215…a7e42,https://eigenphi.io/mev/bsc/tx/0x21511463ed2e6a222bb55d79667da053c80e87498c3b62682cfe9442bafa7e42,"…
…",$18.21,$0.20,$18.41
2024-06-20 23:59:19,0xd60…b5a28,https://eigenphi.io/mev/bsc/tx/0xd60819dfcda9ff1fa29cd1fd2e6cf4b328623115924166e067af4a166dcb5a28,"…
…",$0.11,$0.21,$0.32
2024-06-20 23:59:04,0x8d4…a7fd2,https://eigenphi.io/mev/bsc/tx/0x8d4747b9e22ca44c176379b000f18fea6491c35347485346b61cc58f797a7fd2,"…
…",<$0.01,$0.29,$0.29
2024-06-20 23:58:52,0xb29…cff83,https://eigenphi.io/mev/bsc/tx/0xb290b7257789f6d54ba027fc82e7834a2334d2b070a4575f1ab5d230c73cff83,"…
…",$0.32,$0.33,$0.65
2024-06-20 23:58:52,0x76b…df1ce,https://eigenphi.io/mev/bsc/tx/0x76bef93e36f7d7cd05276f39758be9c044fca5d20fd8def752eec8bbfc8df1ce,"…
…",$21.12,$0.40,$21.53
2024-06-20 23:58:52,0xc92…3d147,https://eigenphi.io/mev/bsc/tx/0xc925065acaae29d567c84c0c42148440ef11ec4166b8cec923d409eae4d3d147,"…
…",$8.52,$0.27,$8.78
2024-06-20 23:58:49,0x072…f1858,https://eigenphi.io/mev/bsc/tx/0x07230cb2e87920dabfb37beb17a4096badaf1af7ba722941fd23e297b6df1858,"…
…",$5.72,$0.17,$5.89
2024-06-20 23:58:25,0x848…5c4da,https://eigenphi.io/mev/bsc/tx/0x848405f3938296002b76f270123d471d34e6e7a159b7f0acc1b811f4f365c4da,"…
…",$12.55,$0.25,$12.80
2024-06-20 23:58:25,0xc50…a9319,https://eigenphi.io/mev/bsc/tx/0xc509321eeba3afb046647dbbd12523d901eaa19b916822abd5f194bcbeea9319,"…
…",$126.45,$0.10,$126.56
2024-06-20 23:58:19,0x5fa…c64b2,https://eigenphi.io/mev/bsc/tx/0x5fa2012286f7513a4a8736751e6cd526dd004c7a81cbf850c3e90b38c38c64b2,"…
…",$1.39,$1.43,$2.82
"a few seconds ago
items per page:
0 - 10",,,,,,
2024-06-20 23:58:13,0x5ba…94500,https://eigenphi.io/mev/bsc/tx/0x5ba482df08c99cb356cc541e59384c7e99d1781002cf873208a3a2cb82e94500,"…
…",$0.08,$0.13,$0.21
2024-06-20 23:58:13,0x2c1…a5203,https://eigenphi.io/mev/bsc/tx/0x2c16793c25e86085f76b40b8a9275dbb794fb498ca042b6d880f811d220a5203,"…
…",$0.72,$0.14,$0.87
2024-06-20 23:58:07,0xc9e…2264d,https://eigenphi.io/mev/bsc/tx/0xc9e3b0af55c51129d9b15f355484ae38dd2713e01982702220419ca90d72264d,"…
…",$4.09,$1.25,$5.35
2024-06-20 23:57:40,0x0fe…62fc0,https://eigenphi.io/mev/bsc/tx/0x0fe5bc2023eb27b7dc52b1c31e891a863d0160a1ab8bb8ca8327cf0f21c62fc0,"…
…",$0.50,$0.10,$0.61
2024-06-20 23:57:37,0xf81…a5a93,https://eigenphi.io/mev/bsc/tx/0xf811399bc15cdf1b152d786a4b029b8f1c6827e8e0f33510a691099b579a5a93,"…
…",$2.93,$0.10,$3.03
2024-06-20 23:57:25,0xd59…a6404,https://eigenphi.io/mev/bsc/tx/0xd590e7061571c08181cb5f0232a9c3deed7aa0a75b6237171e28c2a6fb7a6404,"…
…",$0.31,$0.13,$0.45
2024-06-20 23:56:37,0xbdd…62657,https://eigenphi.io/mev/bsc/tx/0xbddd96a1cf5dfb587d2736efdc83a1da765b5fe39cfcc68b879dc5d8db862657,"…
…",$0.72,$0.23,$0.94
2024-06-20 23:56:37,0xa23…bf18c,https://eigenphi.io/mev/bsc/tx/0xa23661ae131c6c0e373f553bd6661f73a98ecd00bb9d82a61f3f4250e57bf18c,"…
…",$3.39,$0.21,$3.59
2024-06-20 23:56:14,0xd6e…44ab4,https://eigenphi.io/mev/bsc/tx/0xd6e5cd97e0ed4e9e654e53689e5729aa0f4d62d09bd9edb791cef1d684a44ab4,"…
…",$2.61,$1.31,$3.93
2024-06-20 23:56:02,0x73d…c2dfe,https://eigenphi.io/mev/bsc/tx/0x73dfe61a7f0ffd2a68f852022dd023a85076e22394999e2ff33f10c8382c2dfe,"…
…",$0.18,$1.07,$1.25
"a few seconds ago
items per page:
10 - 20",,,,,,
2024-06-20 23:55:59,0x440…7e636,https://eigenphi.io/mev/bsc/tx/0x440d47b1fb76766e9105ca9707604b1a175d29207e0466f91b0f6c3c9ed7e636,"…
…",$1.00,$0.19,$1.19
2024-06-20 23:55:46,0x4f3…4eca1,https://eigenphi.io/mev/bsc/tx/0x4f3b8db35e49d3419018c41ea5cf7ee7ec77074da45ba7befa3692d68ca4eca1,"…
…",$0.96,$1.01,$1.97
2024-06-20 23:55:31,0x261…51ea4,https://eigenphi.io/mev/bsc/tx/0x261a8a714b1b9de5fc7a6cec701065ddcdd46ee39eb309651f507a441a451ea4,"…
…",$11.75,$0.30,$12.05
2024-06-20 23:55:28,0x1c4…0b96b,https://eigenphi.io/mev/bsc/tx/0x1c455c632173690859c882522d5e2043d0337cfcb240374b819cd35a0320b96b,"…
…",$119.91,$0.10,$120.02
2024-06-20 23:54:42,0x833…f21ba,https://eigenphi.io/mev/bsc/tx/0x8339f134a749273abc6c9197f181f1abecd387bd81441dada5e7370e0dff21ba,"…
…",$2.64,$0.11,$2.75
2024-06-20 23:54:36,0xe96…0d8f0,https://eigenphi.io/mev/bsc/tx/0xe962637bbeee86c086978044f9a4eb48212304cc2ef46ad324f7632522c0d8f0,"…
…",$2.19,$27.39,$29.58
2024-06-20 23:53:54,0x98e…59ddc,https://eigenphi.io/mev/bsc/tx/0x98ebb869ef071d739a0c73b18c3d3acab19cf2b314e4c91bedc8eff072659ddc,"…
…",$0.36,$0.22,$0.57
2024-06-20 23:53:48,0xd1c…065d4,https://eigenphi.io/mev/bsc/tx/0xd1ca7837150cb9a85ee9728aa39cdf44d81f52165e7d9ec445b2ba3cdd3065d4,"…
…",$1.98,$1.50,$3.48
2024-06-20 23:53:37,0xd38…42dd4,https://eigenphi.io/mev/bsc/tx/0xd38f223a28a589ac02fb4b5d038d3b837dd4b9290a9e0164cc51df3336142dd4,"…
…",$0.96,$0.51,$1.48
2024-06-20 23:53:22,0x4b5…df082,https://eigenphi.io/mev/bsc/tx/0x4b506de9b99cc4c062733218eaa2b4ccf113551957389f62674b4f871addf082,"…
…",$2.28,$0.11,$2.38
"a few seconds ago
items per page:
20 - 30",,,,,,
2024-06-20 23:53:19,0x428…3a8fd,https://eigenphi.io/mev/bsc/tx/0x4280020cd21d71fecd9ab2334f97817222816e208299234cf56782ae6af3a8fd,"…
…",$0.03,$0.28,$0.31
2024-06-20 23:52:52,0xd5d…2dd51,https://eigenphi.io/mev/bsc/tx/0xd5d0aa2e08ce436d2fd40851f119b2528c92c669a81dc396eac13a8ff512dd51,"…
…",$0.28,$2.67,$2.96
2024-06-20 23:52:13,0xf97…5cae2,https://eigenphi.io/mev/bsc/tx/0xf97cf309f18e845d7dca581ca118a3316dd4e71c63ad9f412b1fb4be5b85cae2,"…
…",$0.53,$0.16,$0.69
2024-06-20 23:51:39,0xc9c…6251b,https://eigenphi.io/mev/bsc/tx/0xc9c1c563f8aea9d8bb7bd3ec42dbb4c8ac01f4783b46397f1668e5912256251b,"…
…",$1.11,$18.49,$19.60
2024-06-20 23:51:36,0xd2e…d1e0c,https://eigenphi.io/mev/bsc/tx/0xd2ef80fde63a46684017cbc0b02662ddc29e91e8f50b7bf228062b42c66d1e0c,"…
…",$0.13,$0.13,$0.26
2024-06-20 23:51:36,0x26b…749b6,https://eigenphi.io/mev/bsc/tx/0x26b41558e1a3adf78231d66196a40b99bc8b55868618c936904df564c78749b6,"…
…",$7.73,$0.10,$7.84
2024-06-20 23:51:23,0xce4…0fa00,https://eigenphi.io/mev/bsc/tx/0xce4eff8b0864dbbc6718b3d1db8903fffbadc090e57b074afa3ed46ab350fa00,"…
…",$0.42,$0.21,$0.63
