Time,Tx,Transaction Hash URL,Token,Profit,Cost,Revenue
2024-06-23 23:59:59,0x061…68a8b,https://eigenphi.io/mev/ethereum/tx/0x06183942e268b1b281900628b2afc04293c27b35aa87750101cd9c0190068a8b,"…
…",$7.16,$459.86,$467.02
2024-06-23 23:59:35,0x247…81b12,https://eigenphi.io/mev/ethereum/tx/0x2473cce466e0fc1c97d767aa1cdc69d9fea202abf96cf9055e736eca52f81b12,"…
…",$0.77,$47.69,$48.47
2024-06-23 23:59:23,0xf56…2c400,https://eigenphi.io/mev/ethereum/tx/0xf562ad1db320597b350c95910df405951006b427145d442ad760e4fc4c42c400,"…
…",$1.97,$31.89,$33.86
2024-06-23 23:58:59,0x1bf…0b02c,https://eigenphi.io/mev/ethereum/tx/0x1bf5b4a8873eb554ea7759492916e4d9d01802a6878daa40c1b089b16550b02c,"…
…",$0.83,$10.70,$11.52
2024-06-23 23:58:35,0x092…e7983,https://eigenphi.io/mev/ethereum/tx/0x0925f6a3b472673712e7ef7f29aec28ceccdb74bedd7cee64c3443c91e2e7983,"…
…",<$0.01,$7.78,$7.79
2024-06-23 23:58:23,0x783…24797,https://eigenphi.io/mev/ethereum/tx/0x7832c196002fc42815897dc3a57f39f08c381ba40abb86ad89e26d75d1224797,"…
…",<$0.01,$6.46,$6.46
2024-06-23 23:58:23,0x54d…89da3,https://eigenphi.io/mev/ethereum/tx/0x54d6f566ea3023679f80c309c740e3fa60add8077ff1d7d8c4468b9ebc689da3,"…
…",$1.90,$54.79,$56.69
2024-06-23 23:58:23,0x74b…6e8de,https://eigenphi.io/mev/ethereum/tx/0x74bbf8f6f77dc4969f0fe2760b2c56e40403d5ca1a95e888f6fbdc6868f6e8de,"…
…",$0.81,$80.49,$81.31
2024-06-23 23:57:47,0x889…57696,https://eigenphi.io/mev/ethereum/tx/0x8896e23b9dc7544879382687a96e4e3315e0818b9177856a1579b6119b857696,"…
…",$0.30,$19.51,$19.82
2024-06-23 23:57:23,0x656…d048d,https://eigenphi.io/mev/ethereum/tx/0x656fd36156884f3afef9cf2e41a3346fcfccc96ebc2f98a8794b1e3602ed048d,"…
…",$0.02,$205.70,$205.72
"a few seconds ago
items per page:
0 - 10",,,,,,
2024-06-23 23:57:11,0x4c8…3de0c,https://eigenphi.io/mev/ethereum/tx/0x4c81bbaef48d4d7d3cd57c32aaa08b87cdd38f1c877f4fa153ebf7154f53de0c,"…
…",$4.06,$52.64,$56.69
2024-06-23 23:56:59,0xe4a…10293,https://eigenphi.io/mev/ethereum/tx/0xe4a5419300d943d2a919540c4665701288acc68bb92eb6a90e013dbbf8410293,"…
…",$1.36,$13.50,$14.86
2024-06-23 23:56:47,0xeb8…d06f6,https://eigenphi.io/mev/ethereum/tx/0xeb8cc06a2b3fdb848b45aaa7653aba50dda25cfdd28eb04bee41a070830d06f6,"…
…",<$0.01,$24.29,$24.29
2024-06-23 23:56:23,0x008…7d74a,https://eigenphi.io/mev/ethereum/tx/0x00830ab2bf3ba1257efadf13e6202ee4e578de9ccf9e023943f5f7c67657d74a,"…
…",$2.39,$27.15,$29.54
2024-06-23 23:56:11,0x7f2…6b96d,https://eigenphi.io/mev/ethereum/tx/0x7f2afbea59b27b49ea09b5137af5672e7eaeefb0751092afcea297311796b96d,"…
…",<$0.01,$6.26,$6.26
2024-06-23 23:55:59,0x9da…b4a1c,https://eigenphi.io/mev/ethereum/tx/0x9daa39526ac27adfbc487c425f634ff768ecfc4bb0516c91323e7c28a2bb4a1c,"…
…",$2.88,$123.09,$125.97
2024-06-23 23:55:47,0x5fe…80455,https://eigenphi.io/mev/ethereum/tx/0x5fec1d3d1912d89b377cd42017641bb70907bb8c36d3ade95e9e6c2881080455,"…
…",-$0.11,$115.28,$115.17
2024-06-23 23:55:23,0x36f…2efc6,https://eigenphi.io/mev/ethereum/tx/0x36f9e5403ddfd6121dcd24658ed8c60049b332391511135dac2e59667442efc6,"…
…",$6.14,$51.79,$57.93
2024-06-23 23:55:11,0xe2f…4d3e1,https://eigenphi.io/mev/ethereum/tx/0xe2fd4c51b1256fb9154a8b03579e803076f4c7c78e428854fb04d7bca444d3e1,"…
…",$0.15,"$1,476.90","$1,477.04"
2024-06-23 23:54:59,0x97b…c3fe2,https://eigenphi.io/mev/ethereum/tx/0x97be9354f2d9ff2951d9d5b959e5f2c4d229177e7e1f82d98f95556c6a7c3fe2,"…
…",<$0.01,$23.18,$23.18
"a few seconds ago
items per page:
10 - 20",,,,,,
2024-06-23 23:54:59,0xd1b…db873,https://eigenphi.io/mev/ethereum/tx/0xd1b2fa477c03fc68ea768184d19a5bcd69ac3bacc8f27c7f3fac353bf63db873,"…
…",<$0.01,$91.16,$91.17
2024-06-23 23:54:47,0x23a…a52fd,https://eigenphi.io/mev/ethereum/tx/0x23a0771937004fea138a78ba6e8169c482d780a058142466be3a9ea8490a52fd,"…
…",$2.14,$123.04,$125.18
2024-06-23 23:54:35,0x504…7035f,https://eigenphi.io/mev/ethereum/tx/0x504a1c1f40ee0d8bfd94107ecf9439bd9b734610c7e30d325d97710335c7035f,"…
…",$1.08,$4.10,$5.18
