,Time,Transaction Hash URL,Profit,Cost,Revenue
16,2024-06-17 23:56:05,https://eigenphi.io/mev/bsc/tx/0x3c56a930b28de94b843d0a58cdcd20016ac550c71b4c07d61e2d3387ab8afe84,<$0.01,$0.21,$0.21
55,2024-06-17 23:51:59,https://eigenphi.io/mev/bsc/tx/0xf5c6853b6362824005d96f5b48be6fb9ac51fcffec6dffd5bbd5d34e7770c6a8,<$0.01,$0.30,$0.30
60,2024-06-17 23:50:59,https://eigenphi.io/mev/bsc/tx/0x4560b3ba7e2deda42a767839c5aca3b83b83b23ff59f2fcbcdba7549021cc32a,<$0.01,$0.95,$0.95
78,2024-06-17 23:47:47,https://eigenphi.io/mev/bsc/tx/0xac2e3c16f03c6b205e2180730823bd8542f8fe59d59486d9051fc6fd33e8e36c,<-$0.01,$0.37,$0.36
97,2024-06-17 23:45:44,https://eigenphi.io/mev/bsc/tx/0x6e06aa10695b27590ced2774dbdfa874384b6ee97b1d9e4a4df284d530ace65c,<$0.01,$1.82,$1.83
100,2024-06-17 23:45:26,https://eigenphi.io/mev/bsc/tx/0x6681f68b5ff73c16956781eba46c4d2cd257b7e935e62101f7277979a9baa136,<$0.01,$0.55,$0.55
118,2024-06-17 23:41:44,https://eigenphi.io/mev/bsc/tx/0xc1deefc9dd834b22c7e7e05832d69f0521ab06f871aa9198c329957f20ee8b8a,<$0.01,$0.60,$0.61
133,2024-06-17 23:39:26,https://eigenphi.io/mev/bsc/tx/0x4adb27d64b5cf8269ff90566e95cb698f99d1c667c7a1b50fe06a69d564a0823,<-$0.01,$0.20,$0.20
167,2024-06-17 23:34:11,https://eigenphi.io/mev/bsc/tx/0x7d3c1770134c19bdf840f471164be9e0bf71c7381e22c59c3f5afdaa5e32479b,<-$0.01,$0.25,$0.25
255,2024-06-17 23:20:59,https://eigenphi.io/mev/bsc/tx/0x96159f0e3aad7c60cbe7d3277c61c02df13f13226dfb2030266dce3db8f6c627,<$0.01,$0.12,$0.13
259,2024-06-17 23:20:26,https://eigenphi.io/mev/bsc/tx/0xac925f3887e9812694e1064b0b44746dd3ad8df8f6c68d5aab03bb475c8af03f,<$0.01,$0.29,$0.29
280,2024-06-17 23:17:20,https://eigenphi.io/mev/bsc/tx/0xfec8bb80e332af813e31671cfcbdfca0eab0b79224bb53dd07a6c1f897125021,<$0.01,$0.30,$0.31
322,2024-06-17 23:09:32,https://eigenphi.io/mev/bsc/tx/0x7342962550e760cc9e6d61e9d2b7f68e7f74b578599434dd37e995778a15bcdb,<$0.01,$1.10,$1.10
343,2024-06-17 23:07:20,https://eigenphi.io/mev/bsc/tx/0x6da774b57e9df51fb21ffe3a4b8b4bbbfd1f41fbf182810c25b7aa3b4726ca60,<$0.01,$1.39,$1.40
418,2024-06-17 22:58:05,https://eigenphi.io/mev/bsc/tx/0xc58a1e1dbaf421904b3c6fd3c71745306d305e9e46e922f467edf5a361977d07,<$0.01,$0.12,$0.12
452,2024-06-17 22:53:23,https://eigenphi.io/mev/bsc/tx/0xc1d3e823ac7c9c59ea09fe373cfd953be5be795e6e89ff66af9f5768bfb54c59,<$0.01,$0.17,$0.18
456,2024-06-17 22:53:02,https://eigenphi.io/mev/bsc/tx/0x76fe486098cc66b0df4a8feb4b97b9f07230e71a41c10ebc3d4f5f570c1f6989,<$0.01,$0.13,$0.14
526,2024-06-17 22:44:44,https://eigenphi.io/mev/bsc/tx/0x52645c319d20a44bcf9e28aa841f6592ddcd6d16be359848a496d4628ff05394,<$0.01,$0.13,$0.13
528,2024-06-17 22:44:32,https://eigenphi.io/mev/bsc/tx/0xab0ed78b3bc8b0add3dd7b6ee9317a49e0b7b9d47e7f5088b5860fa86e816ad2,<$0.01,$0.13,$0.13
529,2024-06-17 22:44:29,https://eigenphi.io/mev/bsc/tx/0xb5d3b29c747fb601493b73b782b113d4b09f8393c5c89d25f974ac158b45331e,<$0.01,$0.12,$0.13
533,2024-06-17 22:44:08,https://eigenphi.io/mev/bsc/tx/0x8665450742af617dc7d5bb8be07cf2d46b5d9c2ba146c51fed67ec119f8ca2ab,<$0.01,$0.12,$0.12
537,2024-06-17 22:43:47,https://eigenphi.io/mev/bsc/tx/0xbc91d459bd50f5b6af0b5e36e18b7efa3448e78413f5c0bbffbac0811d700d67,<$0.01,$0.13,$0.13
539,2024-06-17 22:43:47,https://eigenphi.io/mev/bsc/tx/0x755d19e4c147270c754af2094e49bc2bd407fe6f0a442ac4347890892aedec45,<$0.01,$0.13,$0.14
542,2024-06-17 22:43:29,https://eigenphi.io/mev/bsc/tx/0xfab97d9826e911910b482beb8b057baf7bc1419a23a5d145adacc3428684664b,<$0.01,$0.12,$0.12
543,2024-06-17 22:43:26,https://eigenphi.io/mev/bsc/tx/0x5acc27cabcef0bb4ff05821996881ab7c4353d755f7a4ba4843e1385368cfe34,<$0.01,$0.12,$0.12
548,2024-06-17 22:43:05,https://eigenphi.io/mev/bsc/tx/0x01b8013b9f74945e23d60134466630da9f9c9bc252516b2f45a7dffbf3aae620,<-$0.01,$0.34,$0.33
550,2024-06-17 22:42:53,https://eigenphi.io/mev/bsc/tx/0x336a8c45666d23c75aa7acacb3cf8d4b0515a3b4cfa0470b17cf97da704f541b,<$0.01,$0.13,$0.13
554,2024-06-17 22:42:38,https://eigenphi.io/mev/bsc/tx/0x6581fb3ddca3a084f73efcbb5e0a29550b4f5efc38c7923dc53553fd5fc0f137,<$0.01,$0.13,$0.13
557,2024-06-17 22:42:23,https://eigenphi.io/mev/bsc/tx/0xf9250d21905184d23353355dfb8da691017b20e1deb64ae235c7ec594011a959,<$0.01,$0.12,$0.12
632,2024-06-17 22:27:15,https://eigenphi.io/mev/bsc/tx/0x47c4d3ec2f3cf7ee5ad5b44028ccdf672b891fb5e240c21c24ee052840749644,<$0.01,$0.17,$0.18
787,2024-06-17 22:03:22,https://eigenphi.io/mev/bsc/tx/0x66cd84f8697387aee8b279a967df887cbb4b257b52858447c44d0b0c00e6da2a,<$0.01,$0.49,$0.50
861,2024-06-17 21:48:16,https://eigenphi.io/mev/bsc/tx/0x86faeb4307ba45fb2403851cef1c323278fec68e78aa654d0ee480da1ec58ccc,<$0.01,$0.14,$0.15
929,2024-06-17 21:38:28,https://eigenphi.io/mev/bsc/tx/0xf8e4bdb95c0feecafbe1edce45577a024b8c6cfa6d69b34c4ffe8a9e1105d4e4,<$0.01,$4.21,$4.22
939,2024-06-17 21:37:19,https://eigenphi.io/mev/bsc/tx/0x22b328ab3cd57f6f2c689f396d8952ab35d1e3501f666b669d8c459e98692d89,<$0.01,$0.13,$0.13
943,2024-06-17 21:36:55,https://eigenphi.io/mev/bsc/tx/0x00b9b929c47803fdf95aea9df2e267c54149d2720baa8fde54bda3f92bf536f0,<$0.01,$0.83,$0.83
964,2024-06-17 21:34:36,https://eigenphi.io/mev/bsc/tx/0x9420905f04039b5bc41bcda45414ca00ebd1b1beb533b93940af3b3755174d9a,<$0.01,$0.14,$0.15
994,2024-06-17 21:30:03,https://eigenphi.io/mev/bsc/tx/0x14d65ab90f5a3d8a7dfaf4a3f3ab9dc06d74e9f434b7bb5b095ee53df12574b4,<$0.01,$0.13,$0.13
1010,2024-06-17 21:27:15,https://eigenphi.io/mev/bsc/tx/0x91bd962f173c6ae7667d1ab2d877468a9935593349ad0970136c99eb0db4380f,<$0.01,$0.17,$0.18
1086,2024-06-17 21:12:00,https://eigenphi.io/mev/bsc/tx/0x925d6d8c722514df7e2f79d620fb46b56fc3375db7d800cc87f308160ab8d043,<$0.01,$0.21,$0.22
