,time,timestamp,RabbitX,GMX_Arbitrum,dYdX
0,2024-06-10,1717977600,55111948.7591,4667761.891053659,853474899.9999969
1,2024-06-09,1717891200,17809171.8424,818670.4874785723,401534599.99999714
2,2024-06-08,1717804800,24882496.3396,778253.5789597947,593298699.9999995
3,2024-06-07,1717718400,103393705.8705,6754333.806353693,2588689700.000006
4,2024-06-06,1717632000,76103143.9487,3846819.378649724,1844244300.0000002
5,2024-06-05,1717545600,114500293.2016,7526091.137539281,1604727900.0000083
6,2024-06-04,1717459200,114830136.5583,20032497.66026343,1304909000.0000086
7,2024-06-03,1717372800,126900252.3147,13161237.970923629,1327980799.9999933
8,2024-06-02,1717286400,63427578.6968,1265107.8644240173,391058599.9999978
9,2024-06-01,1717200000,18988909.2187,1035825.1094197572,388480999.9999903
10,2024-05-31,1717113600,127675459.3766,15139020.293657966,2319717099.9999857
11,2024-05-30,1717027200,175897307.0511,8582875.865071893,1395623999.9999871
12,2024-05-29,1716940800,105251365.2509,2038043.1082068677,1076823299.99999
13,2024-05-28,1716854400,187562834.3055,7971266.242241397,2259698800.000026
14,2024-05-27,1716768000,139369597.7591,1395407.465719583,2537308800.0000005
15,2024-05-26,1716681600,72877685.3012,393352.0857952816,1822159899.9999988
16,2024-05-25,1716595200,70055355.7117,1132883.5309177523,740381299.9999968
17,2024-05-24,1716508800,151309387.5599,3054143.679485474,1555524999.9999893
18,2024-05-23,1716422400,223649702.9282,8635621.629811892,2685438499.999982
19,2024-05-22,1716336000,161357245.2109,6627442.999792734,1137342899.999993
20,2024-05-21,1716249600,177019894.4801,12249680.696212266,2102771499.999978
21,2024-05-20,1716163200,252679201.0918,8250253.091484269,4365220699.999999
22,2024-05-19,1716076800,113617118.6816,8184278.786543383,1628313899.99999
23,2024-05-18,1715990400,88706811.9952,6924049.024194469,906044899.9999962
24,2024-05-17,1715904000,173392606.8745,2230227.069523497,1780482000.0000052
25,2024-05-16,1715817600,164601320.477,6141603.555384184,1975089999.999992
26,2024-05-15,1715731200,193996921.7497,11820829.729304343,3562326200.00004
27,2024-05-14,1715644800,158565740.8547,8410213.419856204,3566890799.9999967
28,2024-05-13,1715558400,152906426.1583,10941494.253828838,1919794300.0000155
29,2024-05-12,1715472000,60948799.522,1385283.429793493,830082799.999999
30,2024-05-11,1715385600,79325752.9547,562553.9887658483,860257499.9999979
31,2024-05-10,1715299200,202729216.131,405170.591102877,3405231800.000001
32,2024-05-09,1715212800,160038220.4613,836921.0966988212,2658192000.0000267
33,2024-05-08,1715126400,116028757.8005,509832.6703049832,2563765900.000004
34,2024-05-07,1715040000,166212075.3239,591193.2018274006,3806494100.0000024
35,2024-05-06,1714953600,165221664.1572,2342881.7001511664,2881737100.000019
36,2024-05-05,1714867200,64605096.7273,11337069.857821016,1608057599.9999988
37,2024-05-04,1714780800,79984478.2172,6768716.386577327,2391102400.0000224
38,2024-05-03,1714694400,189850010.4372,14638536.699479202,3139280500.0000057
39,2024-05-02,1714608000,143299166.0436,16397613.107872892,3067180500.000018
40,2024-05-01,1714521600,347191722.5448,17002170.920277312,5320152400.000012
41,2024-04-30,1714435200,261713947.2867,30076548.48412854,2982660300.0000024
42,2024-04-29,1714348800,194458555.4458,4771592.396576888,1932078400.0000064
43,2024-04-28,1714262400,77017102.3426,11017525.254704127,1373686499.9999952
44,2024-04-27,1714176000,128305487.3992,5398586.986968379,2390935400.0000286
45,2024-04-26,1714089600,111624615.2353,15930319.157870555,1734298899.9999986
46,2024-04-25,1714003200,218207323.3552,22668324.091551,1937710100.000008
47,2024-04-24,1713916800,164819008.1423,11806405.648297785,3399931700.000008
48,2024-04-23,1713830400,46831057.9022,3252494.3088825056,2308406099.999989
49,2024-04-22,1713744000,177665660.3737,10350856.896390198,2788077200.000044
50,2024-04-21,1713657600,180571889.763,3576722.2809996777,2214512399.9999943
51,2024-04-20,1713571200,244879907.6977,16260997.53415294,1843172099.9999807
52,2024-04-19,1713484800,808317725.6296,28459064.686938133,6085365000.000084
53,2024-04-18,1713398400,517956753.9183,1709810.8476782255,3053486600.0000043
54,2024-04-17,1713312000,707960039.3431,10039664.416597929,4781739800.00005
55,2024-04-16,1713225600,436286896.103,17133313.889607277,4100534000.0000277
56,2024-04-15,1713139200,390483500.918,30852588.150520433,3733272900.000033
57,2024-04-14,1713052800,442993794.8299,14852887.398687985,6132518499.999939
58,2024-04-13,1712966400,382614607.7266,24468174.32847124,6593355699.999964
59,2024-04-12,1712880000,265755041.5414,41339758.97748277,3548860900.000013
60,2024-04-11,1712793600,171533542.9147,8279644.644969715,1444433099.9999964
61,2024-04-10,1712707200,289560104.7338,28256886.55043058,3148533900.0000176
62,2024-04-09,1712620800,220999606.6359,16065778.797224022,2681993400.0000052
63,2024-04-08,1712534400,191751525.6643,12474476.752788212,2639509800.00001
64,2024-04-07,1712448000,214809655.337,5314899.424839857,1065290299.9999928
65,2024-04-06,1712361600,149598009.7986,4453279.068233828,1139095599.9999952
66,2024-04-05,1712275200,303767197.9914,13166028.406227518,2062652500.000018
67,2024-04-04,1712188800,118988077.9731,14161809.970873203,2481391900.000031
68,2024-04-03,1712102400,130318226.2994,9426679.545527158,1882841399.9999998
69,2024-04-02,1712016000,363030939.6799,27256340.720744997,3877478400.0000534
70,2024-04-01,1711929600,144116053.197,24437819.63079164,2295850100.000015
71,2024-03-31,1711843200,37889506.2567,8205403.342853046,1307560699.9999955
72,2024-03-30,1711756800,29845762.0015,4636704.301357963,747962599.9999925
73,2024-03-29,1711670400,133800330.6812,19018306.250581194,1152487299.999996
74,2024-03-28,1711584000,179711411.3981,16940586.549869392,2022223599.9999945
