,time,ETH,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,0x09a3ecafa817268f77be1283176b946c4ff2e608,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,0xa3ee21c306a700e682abcdfe9baa6a08f3820419,0xbe9375c6a420d2eeb258962efb95551a5b722803,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,0x4fe83213d56308330ec302a8bd641f1d0113a4cc
0,1623196800,2509.23,7.093,4.217,0.2883,3.371,0.02231,0.0,0.351159856734541
1,1623283200,2610.64,7.225,4.172,0.297,3.65,0.02337,0.0,0.3341684780489219
2,1623369600,2471.56,7.239,3.993,0.3812,3.314,0.02326,0.0,0.3043154425136998
3,1623456000,2355.09,7.218,3.848,0.3983,3.264,0.02207,0.0,0.2718486441853643
4,1623542400,2369.62,6.961,3.742,0.3948,3.149,0.02024,0.0,0.3162515592246863
5,1623628800,2509.7,7.012,3.82,0.4764,3.277,0.02136,0.0,0.3113038763021213
6,1623715200,2582.12,6.94,3.933,0.5019,3.372,0.02244,0.0,0.3112927601156751
7,1623801600,2543.6,6.78,4.027,0.5712,3.296,0.02236,0.0,0.3018231185674443
8,1623888000,2367.7,6.639,3.87,0.5217,3.211,0.02084,0.0,0.2772731833532003
9,1623974400,2372.31,6.814,4.7,0.6299,3.157,0.02071,0.0,0.3392528217462514
10,1624060800,2233.57,6.358,5.143,0.5267,2.923,0.01963,0.0,0.292091445138444
11,1624147200,2166.61,6.183,4.619,0.4588,2.888,0.01891,0.0,0.2858144376840547
12,1624233600,2243.6,6.215,4.502,0.4152,2.83,0.01923,0.0,0.2825914682153594
13,1624320000,1887.89,5.412,4.567,0.3,2.293,0.01378,0.0,0.2315074541802629
14,1624406400,1880.83,5.374,4.693,0.2535,2.437,0.01238,0.0,0.2149075764875286
15,1624492800,1968.56,5.724,4.82,0.2704,2.743,0.01313,0.0,0.2286837316261271
16,1624579200,1989.01,5.708,4.659,0.2698,2.741,0.01406,0.0,0.2305822056229529
17,1624665600,1810.27,5.467,4.15,0.2434,2.425,0.013,0.0,0.2122773375636748
18,1624752000,1830.94,4.867,4.044,0.2452,2.408,0.01324,0.0,0.223687937776675
19,1624838400,1983.33,5.238,4.101,0.2972,2.485,0.0143,0.0,0.233530635187819
20,1624924800,2083.8,5.955,4.088,0.2843,2.338,0.01634,0.0,0.2326600064033585
21,1625011200,2165.61,6.208,4.137,0.2861,2.726,0.01756,0.0,0.2391262256710992
22,1625097600,2276.14,6.328,3.987,0.2715,2.465,0.01882,0.0,0.234236605253936
23,1625184000,2109.29,5.947,3.798,0.253,2.474,0.02033,0.0,0.2304197743442612
24,1625270400,2155.65,6.201,3.738,0.261,2.464,0.02147,0.0,0.2348657296574469
25,1625356800,2227.18,6.789,3.821,0.264,2.609,0.02147,0.0,0.2335436301378875
26,1625443200,2323.27,6.927,3.914,0.2709,2.646,0.02168,0.0,0.2453323674795357
27,1625529600,2196.71,6.787,3.779,0.2584,2.534,0.02039,0.0,0.2390662591121563
28,1625616000,2322.63,6.846,3.847,0.3265,2.498,0.02079,0.0,0.2589760195021533
29,1625702400,2317.12,6.813,3.958,0.3167,2.514,0.02085,0.0,0.2530983881565661
30,1625788800,2114.51,6.454,3.694,0.2834,2.437,0.0184,0.0,0.2405861080183009
31,1625875200,2145.67,6.439,3.713,0.2798,2.409,0.01852,0.0,0.2401772367456729
