,blockNumber,timeStamp,hash,from,to,contractAddress,tokenName,tokenSymbol,value,tokenDecimal,gas,gasPrice,gasUsed,evt_block_time,cex_name,distinct_name,gasFee,timeStamp_midnight,TokenPrice_traded,ETH-USD,Volume,gasFee_inUSD,gasFee_percentage_bp
0,20030649,1717651067,0xdcc78217896b6db61916401afbf5909e661df320dad117475892c4f342fe1ed0,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,212148531000,6,84000,19067736598,46109,2024-06-06 05:17:47.000 UTC,Coinhako,Coinhako 5,0.000879194266797182,1717632000,1.0,3866.46,212148.531,3.3993694648006323,0.1602353525040733
1,20027288,1717610507,0xdad6954b89e597556b3083c9f70006bbd01da55d4f9f072f0d404332bb6b1bff,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0xc00e94cb662c3520282e6f5717214004a7f26888,Compound,COMP,923000000000000000000,18,151437,26478706478,40322,2024-06-05 18:01:47.000 UTC,OKX,OKX 81,0.001067674402605916,1717545600,59.91,3810.73,55296.93,4.068618876242443,0.7357766292346506
2,20027030,1717607411,0x1778b4601a42e7dd0c72241b5be9a68425d9ab57aff401ad4f68640874ccce6b,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,235195000000000000000000,18,135782,19336673506,34718,2024-06-05 17:10:11.000 UTC,OKX,OKX 81,0.0006713306307813081,1717545600,0.9996,3810.73,235100.92200000002,2.558259774637254,0.10881538672303692
3,20026886,1717605683,0xb02c70ff1622f8d3b9f53351e621dcfa27467b976b9c2a4aad93519a62f7fd4b,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0x4a220e6096b25eadb88358cb44068a3248254675,Quant,QNT,1145193530000000000000,18,42274,20333749132,34869,2024-06-05 16:41:23.000 UTC,Revolut,Revolut 3,0.000709017498483708,1717545600,91.21,3810.73,104453.1018713,2.701874251996821,0.25866864684649443
4,20026854,1717605287,0x09f55074bc086ed243eed0797a19f1aca77689ebc79e6743fcd3a6fd76792cf3,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0x3845badade8e6dff049820680d1f14bd3903a5d0,SAND,SAND,215471930000000000000000,18,41514,19554491918,34236,2024-06-05 16:34:47.000 UTC,Revolut,Revolut 3,0.000669467585304648,1717545600,0.4624,3810.73,99634.22043199999,2.5511602113479817,0.2560526092628124
5,20026851,1717605251,0xc0467fd35c74c82e4999a86ebbc9e5093227ffa7857e27a9563b1ccd2d21d576,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIBA INU,SHIB,6503074163000000000000000000,18,42200,20589473787,34807,2024-06-05 16:34:11.000 UTC,Revolut,Revolut 3,0.0007166578141041091,1717545600,2.461e-05,3810.73,160040.65515143,2.7309894319409516,0.17064347989308698
6,20026737,1717603871,0xcce69e2f58370c18225ea2ba18ca2af85f2c225c5673c082630040d8deda282d,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0xe66baa0b612003af308d78f066bbdb9a5e00ff6c,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,440643518000,6,84000,20912685368,46109,2024-06-05 16:11:11.000 UTC,Coinhako,Coinhako 5,0.000964263009633112,1717545600,1.0,3810.73,440643.518,3.674545978699189,0.08339044666712171
7,20020501,1717528727,0x0703e5f79d38b4ba4cafc62714961b2fd87e739d4a38e66187d9267aa29da39d,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x2efb50e952580f4ff32d8d2122853432bbf2e204,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIBA INU,SHIB,127224239528000000000000000000,18,42214,14298102620,34819,2024-06-04 19:18:47.000 UTC,Robinhood,Robinhood 4,0.00049784563512578,1717459200,2.443e-05,3766.32,3108088.1716690403,1.8750459724869277,0.006032795303487255
8,20019843,1717520819,0x2440f1c2431035110f73d88a2b0f9cac461997ab2597d044f783142be71ff528,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x2efb50e952580f4ff32d8d2122853432bbf2e204,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE,16141180000000000000,18,53595,19501865112,44284,2024-06-04 17:06:59.000 UTC,Robinhood,Robinhood 4,0.0008636205946198081,1717459200,101.06,3766.32,1631.2276508,3.252671517928476,19.940021960351604
9,20019705,1717519151,0x26fd994fae64a34da9f42a099a9573912e143b6d6a5931272bb3b501374924d7,0xdbf5e9c5206d0db70a90108bf936da60221dc080,0x03ae1a796dfe0400439211133d065bda774b9d3e,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,279177000000,6,182000,18797761446,46097,2024-06-04 16:39:11.000 UTC,OKX,OKX 81,0.000866520409376262,1717459200,0.9999,3766.32,279149.0823,3.2635931482420033,0.11691219334673067
