Time,Tx,Transaction Hash URL,Token,Profit,Cost,Revenue
2024-06-14 23:59:59,0x37c…2075d,https://eigenphi.io/mev/bsc/tx/0x37c46e6d8218fffdf57b5243773de7a10e42281dccad5df41d60e33c34a2075d,"…
…",$0.09,$0.24,$0.33
2024-06-14 23:59:56,0x9fa…47704,https://eigenphi.io/mev/bsc/tx/0x9fa47bad9a6d21ae137416b2b4c835fb20d53ee484e30183002f5e2eb1747704,"…
…",$1.65,$0.16,$1.81
2024-06-14 23:59:38,0x2c9…c2e13,https://eigenphi.io/mev/bsc/tx/0x2c9e58f070076cbd6c92be83925892e071a8d3773a67f5d4c4d0cfe3b7cc2e13,"…
…",$0.03,$0.14,$0.17
2024-06-14 23:59:38,0x5ce…3be27,https://eigenphi.io/mev/bsc/tx/0x5ce08f579bce22e07ea953f996a47557430c9d3e8800a2bce6313ec49b73be27,"…
…",$0.03,$0.25,$0.28
2024-06-14 23:59:29,0x00c…14979,https://eigenphi.io/mev/bsc/tx/0x00c4765ebc8918a4bdc768541bc86b78095392d6c0cdb835a73eb0b7a9614979,"…
…",$0.07,$0.22,$0.30
2024-06-14 23:59:26,0xc1a…5be43,https://eigenphi.io/mev/bsc/tx/0xc1a5e12fca482eda2b11c8a9817ac0a80a27907813cbdc61f2803e93c7e5be43,"…
…",$0.18,$0.64,$0.82
2024-06-14 23:59:26,0xad4…59853,https://eigenphi.io/mev/bsc/tx/0xad42db87d284dfc2fd8bdd0e24be24899440aed085a359dd538212f7be359853,"…
…",$0.27,$2.94,$3.21
2024-06-14 23:59:20,0xcbb…9479d,https://eigenphi.io/mev/bsc/tx/0xcbbd5db4941de528cc6dc7851308f7386bd5c99f7ca341938650b8c2f109479d,"…
…",$0.43,$1.06,$1.49
2024-06-14 23:58:53,0xa4f…c8973,https://eigenphi.io/mev/bsc/tx/0xa4f7083eec42da5cbbe66c728d248720e8f59b93e59a825055550e4e538c8973,"…
…",$0.41,$0.11,$0.52
2024-06-14 23:58:44,0x964…3e148,https://eigenphi.io/mev/bsc/tx/0x96439c5583ac6e2bf3db36fe417bf270b5ea0548a3f9d9e0f7f79c2aa1e3e148,"…
…",$0.34,$0.30,$0.63
"a few seconds ago
items per page:
0 - 10",,,,,,
